# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.787710003991437,1.07,-179.99499923073824,0,3.0,0.0319419890256235,0.0,0.0,0.0
 0.06046973489213291,2.782225120755441,1.0699995212800002,-179.99499923073824,0.18140920467639873,3.0,0.0319419890256235,0.0,0.4014050364269491,0.0
 0.08542096830266513,2.7767648914612075,1.06999809024,-179.98498367998218,0.2562629049079954,3.0000000000000013,0.03211669547507014,0.0,0.5254130253770836,0.0
 0.10450128100127724,2.7713292281226436,1.06999571456,-179.97495863516207,0.3135038430038318,3.000000000000001,0.032291300471331635,0.0,0.6259324146809473,0.0
 0.12053205100531382,2.7659180427536563,1.06999240192,-179.96492445658424,0.3615961530159415,3.0,0.03246577490678752,0.0,0.7135090086599211,0.0
 0.13460747882890195,2.760531247368152,1.06998816,-179.95488151203136,0.4038224364867059,3.000000000000001,0.032640080584761935,0.0,0.7925712765855675,0.0
 0.14728941104525767,2.755168753980038,1.06998299648,-179.94483017682506,0.44186823313577306,3.0,0.032814182281125516,0.0,0.8654988331967385,0.0
 0.15891200656417187,2.749830474603222,1.06997691904,-179.93477083396473,0.4767360196925157,3.000000000000005,0.032988043706467254,0.0,0.9337478912266134,0.0
 0.1696932461548286,2.7445163212516097,1.06996993536,-179.92470387423214,0.5090797384644858,2.9999999999999973,0.033161626072094615,0.0,0.9982861698391239,0.0
 0.17978471917006295,2.739226205939109,1.06996205312,-179.9146296962877,0.539354157510189,3.0000000000000084,0.0333348922465542,0.0,1.059794799423743,0.0
 0.18929692802193934,2.733960040679626,1.06995328,-179.90454870681546,0.5678907840658182,2.999999999999997,0.03350779970357816,0.0,1.118774007462785,0.0
 0.19831339259504305,2.7287177374870684,1.06994362368,-179.89446132061187,0.5949401777851293,3.000000000000003,0.03368030894671041,0.0,1.175603376677966,0.0
 0.20689907727042586,2.723499208375343,1.06993309184,-179.88436796071642,0.6206972318112778,3.000000000000003,0.0338523778480372,0.0,1.2305785090359946,0.0
 0.21510570701844697,2.7183043653583563,1.06992169216,-179.8742690585169,0.6453171210553411,3.0,0.03402396155171999,0.0,1.2839344888343978,0.0
 0.22297527101873668,2.7131331204500158,1.0699094323200002,-179.86416505388482,0.6689258130562102,3.0,0.03419501680587888,0.0,1.3358615375752805,0.0
 0.23054241650860863,2.7079853856642275,1.0698963200000002,-179.85405639527568,0.6916272495258261,3.0000000000000036,0.03436549907111442,0.0,1.3865158076835649,0.0
 0.23783613458469077,2.702861073014899,1.06988236288,-179.8439435398664,0.7135084037540724,2.999999999999985,0.03453535646931297,0.0,1.4360270515656592,0.0
 0.2448809783328468,2.697760094515938,1.0698675686399999,-179.83382695366996,0.7346429349985405,2.999999999999996,0.03470454767975936,0.0,1.484504197285538,0.0
 0.2516979627712133,2.6926823621812495,1.0698519449600001,-179.8237071116584,0.75509388831364,2.999999999999996,0.03487301794723459,0.0,1.5320394937541877,0.0
 0.258305242693533,2.6876277880247423,1.0698354995200001,-179.81358449787112,0.774915728080599,3.0,0.03504072011558872,0.0,1.5787116375216383,0.0
 0.2647186319741063,2.6825962840603226,1.06981824,-179.8034596055779,0.7941558959223188,2.9999999999999916,0.03520759941520109,0.0,1.6245881937800042,0.0
 0.2709520074501479,2.6775877623018975,1.06980017408,-179.79333293737213,0.8128560223504439,3.0000000000000178,0.035373607288045325,0.0,1.6697274712580708,0.0
 0.27701762728551965,2.6726021347633737,1.06978130944,-179.7832050053028,0.8310528818565591,3.0000000000000093,0.03553868424591798,0.0,1.7141800056995389,0.0
 0.2829263849707383,2.6676393134586585,1.06976165376,-179.7730763310203,0.848779154912215,2.9999999999999907,0.035702777002257644,0.0,1.7579897552137078,0.0
 0.2886880141925794,2.6626992104016582,1.06974121472,-179.76294744587494,0.8660640425777383,3.0,0.03586582585982015,0.0,1.8011950480964316,0.0
 0.29431125571929184,2.6577817376062804,1.06972,-179.7528188910828,0.8829337671578757,3.0000000000000195,0.03602777422296804,0.0,1.843829374759894,0.0
 0.29980399457586787,2.652886807086431,1.0696980172800001,-179.74269121783112,0.8994119837276039,3.00000000000001,0.036188562186755736,0.0,1.8859220257992286,0.0
 0.30517337373361,2.648014330856019,1.0696752742400002,-179.73256498741267,0.9155201212008303,3.00000000000001,0.03634812807027274,0.0,1.9274986221373194,0.0
 0.3104258890529119,2.643164220928949,1.0696517785600002,-179.722440771372,0.9312776671587361,3.0,0.03650640836162221,0.0,1.96858156386031,0.0
 0.31556746912743705,2.638336389319129,1.06962753792,-179.71231915162815,0.9467024073823115,3.0,0.036663335967277506,0.0,2.0091903997264553,0.0
 0.3206035428670903,2.633530748040467,1.06960256,-179.70220072061812,0.9618106286012712,2.999999999999989,0.036818848620136325,0.0,2.0493421478063842,0.0
 0.32553909704744866,2.628747209106868,1.0695768524800002,-179.69208608141352,0.9766172911423463,3.000000000000011,0.03697287706203468,0.0,2.0890515556212375,0.0
 0.3303787255900193,2.62398568453224,1.0695504230400001,-179.68197584787805,0.991136176770058,2.999999999999966,0.03712534996460082,0.0,2.1283313333946765,0.0
 0.3351266719821741,2.61924608633049,1.06952327936,-179.67187064480237,1.0053800159465225,3.0,0.03727620090426993,0.0,2.167192352209133,0.0
 0.3397868659702752,2.6145283265155244,1.06949542912,-179.66177110803153,1.0193605979108258,3.000000000000012,0.037425354418766744,0.0,2.2056438111016634,0.0
